street,locality,region,old_address,lat,lon,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
đường nguyễn trọng tuyển,phường phú nhuận,hồ chí minh,"Đường Nguyễn Trọng Tuyển, Phường Phú Nhuận, Quận Phú Nhuận, Hồ Chí Minh (cũ)",10.7978431,106.674643,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,4.0
đường trịnh như khuê,xã bình chánh,hồ chí minh,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh (cũ)",10.6638681,106.5703407,0.4280784417305304,11.0,3.4931253947015146,3.0,0.2548342903826288,1.0,,0.0,,0.0,0.1251590262960086,12.0,,0.0
đường lê quang định,phường bình thạnh,hồ chí minh,"Đường Lê Quang Định, Phường Bình Thạnh, Quận Bình Thạnh, Hồ Chí Minh (cũ)",10.8045369,106.6985299,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0
đường lê thánh tôn,phường bến thành,hồ chí minh,"Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh (cũ)",10.7803088,106.7054885,0.4752517013792162,114.0,0.3183914802084917,68.0,0.915369003541698,22.0,0.3312733645976148,97.0,0.690744449731313,15.0,0.0895344751277696,68.0,0.3523202858879943,7.0
đường đinh công tráng,phường tân định,hồ chí minh,"Đường Đinh Công Tráng, Phường Tân Định, Quận 1, Hồ Chí Minh (cũ)",10.7911838,106.6923819,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0
đường số 3a,xã bình hưng,hồ chí minh,"Đường số 3A, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh (cũ)",10.7216682,106.6612949,0.6448315462720459,43.0,0.2380804425885271,37.0,2.021535451378851,9.0,1.92248837215138,5.0,1.961152241436052,3.0,0.1549795339773221,18.0,,0.0
đường âu dương lân,phường chánh hưng,hồ chí minh,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh (cũ)",10.7460099,106.6829836,0.1026391394111249,142.0,0.6244011765486238,76.0,0.389629664161238,41.0,0.0111438965873269,62.0,0.7192455313154356,10.0,0.2217875008797816,29.0,3.203953797566647,3.0
đường nguyễn thị minh khai,phường bến thành,hồ chí minh,"Đường Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, Hồ Chí Minh (cũ)",10.7697658,106.6968854,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,5.0
đường trần hưng đạo,phường cầu ông lãnh,hồ chí minh,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh (cũ)",10.7586762,106.6871256,0.2382065710618411,175.0,0.2720899200508758,85.0,0.3475292585322981,43.0,0.4376213933605064,91.0,0.8076369151653383,20.0,0.1129257955810679,70.0,1.7964196622512754,3.0
đường nguyễn văn đậu,phường bình lợi trung,hồ chí minh,"Đường Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, Hồ Chí Minh (cũ)",10.8143593,106.6949846,0.2964289749244463,89.0,1.0201470766061114,36.0,0.3530005832131173,14.0,0.2431588066858871,36.0,2.033952162050202,5.0,0.1253517781441358,48.0,3.0225326888196205,6.0
